2bwm 0.2-2
lib32-sdl 1.2.15-6
lib32-sdl2 2.0.4-2
lib32-sdl2_image 2.0.1-1
lib32-sdl2_mixer 2.0.1-1
lib32-sdl2_ttf 2.0.14-2
lib32-sdl_image 1.2.12-3
lib32-sdl_mixer 1.2.12-2
lib32-sdl_ttf 2.0.11-3
lib32-smpeg 0.4.5-2
lib32-smpeg2 2.0.0-2
lib32-soundtouch 1.9.2-1
lib32-sqlite 3.14.1-1
lib32-systemd 231-1
lib32-tdb 1.3.11-1
lib32-util-linux 2.28.2-1
lib32-v4l-utils 1.10.1-1
lib32-wayland 1.12.0-1
lib32-wxgtk 3.0.2-6
lib32-xz 5.2.2-1
lib32-zlib 1.2.8-1
libabw 0.1.1-2
libaio 0.3.110-1
libakonadi-qt4 1.13.0-10
libao 1.2.0-1
libappindicator-gtk2 12.10.0-11
libappindicator-gtk3 12.10.0-11
libappindicator-sharp 12.10.0-11
libarchive 3.2.1-2
libass 0.13.3-1
libassuan 2.4.3-1
libasyncns 0.8+3+g68cd5af-1
libatasmart 0.19-3
libatomic_ops 7.4.4-1
libavc1394 0.5.4-2
libbluray 0.9.2-2
libbsd 0.8.3-1
libcaca 0.99.beta19-1
libcacard 2.5.2-1
libcanberra 0.30-7
libcanberra-pulse 0.30-7
libcap 2.25-1
libcap-ng 0.7.8-1
libcdaudio 0.99.12.p2-1
libcddb 1.3.2-4
libcdio 0.93-4
libcdio-paranoia 10.2+0.93+1-2
libcdr 0.1.3-1
libchamplain 0.12.14-1
libcmis 0.5.1-3
libcompizconfig-git 0.8.12.1.r0.g388c0af-1
libconfig 1.5-3
libcroco 0.6.11-1
libcue 2.1.0-1
libcups 2.2.1-1
libcurl-compat 7.50.3-1
libcurl-gnutls 7.50.3-1
libdaemon 0.14-3
libdaq 2.0.6-1
libdatrie 0.2.10-1
libdbusmenu-glib-ubuntu 1:12.10.3.15.04.20150410.2-1
libdbusmenu-gtk2-ubuntu 1:12.10.3.15.04.20150410.2-1
libdbusmenu-gtk3-ubuntu 1:12.10.3.15.04.20150410.2-1
libdbusmenu-qt4 0.9.3+16.04.20160218-1
libdbusmenu-qt5 0.9.3+16.04.20160218-1
libdc1394 2.2.4-1
libdca 0.0.5-4
libdiscid 0.6.1-2
libdmapsharing 2.9.36-1
libdmtx 0.7.4-5
libdmx 1.1.3-1
libdnet 1.12-9
libdrm 2.4.71-1
libdv 1.0.0-6
libdvbpsi 1:1.3.0-1
libdvdcss 1.4.0-1
libdvdnav 5.0.3-1
libdvdread 5.0.4-1
libe-book 0.1.2-5
libebml 1.3.4-1
libedit 20160618_3.1-1
libelf 0.167-1
libepoxy 1.3.1-1
libetonyek 0.1.6-1
libev 4.22-1
libevdev 1.5.4-1
libevent 2.0.22-2
libexif 0.6.21-2
libexttextcat 3.4.4-1
libfakekey 0.1-7
libfbclient 2.5.6.27020-1
libffi 3.2.1-2
libfilezilla 0.7.1-1
libfm 1.2.4-2
libfm-extra 1.2.4-2
libfm-gtk2 1.2.4-2
libfontenc 1.1.3-1
libftdi 1.3-1
libgadu 1.12.1-2
libgcrypt 1.7.3-1
libgcrypt15 1.5.6-1
libgdata 0.17.5-1
libgdiplus 4.2-1
libgdm 3.20.1-2
libgee 0.18.0-1
libgit2 1:0.24.1-1
libgksu 2.0.12-7
libglade 2.6.4-5
libgme 0.6.0-5
libgnome-keyring 3.12.0-2
libgnomekbd 3.6.0-3
libgoom2 2k4-3
libgpg-error 1.24-1
libgphoto2 2.5.10-2
libgsf 1.14.40-1
libgtop 2.34.0-2
libgudev 230-1
libguestfs 1.34.2-1
libgusb 0.2.9-1
libgweather 3.20.3-1
libgxps 0.2.4-1
libibus 1.5.14-1
libical 2.0.0-2
libice 1.0.9-1
libid3tag 0.15.1b-8
libidn 1.33-1
libiec61883 1.2.0-4
libimobiledevice 1.2.0-3
libindicator-gtk2 12.10.1-4
libindicator-gtk3 12.10.1-5
libinput 1.5.0-1
