2bwm 0.2-2
util-linux 2.28.2-1
v4l-utils 1.10.1-1
vala 0.32.1-1
valgrind 3.11.0-4
vamp-plugin-sdk 2.6-1
variety 0.6.2-1
vcdimager 0.7.24-7
vde2 2.3.2-8
vi 1:070224-2
vid.stab 1.1-1
videoproto 2.3.3-1
vidrop 0.6.8-1
vim 8.0.0013-1
vim-runtime 8.0.0013-1
vino 3.20.2-1
virglrenderer 0.5.0-1
virtualbox 5.1.6-1
virtualbox-guest-dkms 5.1.6-1
virtualbox-guest-iso 5.1.6-1
virtualbox-guest-utils 5.1.6-1
virtualbox-host-dkms 5.1.6-1
visual-studio-code 1.4.0-1
vivaldi-beta 1.0.403.24-2
vivaldi-beta-ffmpeg-codecs 48.0.2564.109-1
vlc 2.2.4-4
vmware-patch 12.0.0-4
vorbis-tools 1.4.0-6
vsftpd 3.0.3-2
vte 0.28.2-8
vte-common 0.44.2-1
vte3-ng 0.44.2.a-1
vtk6 6.3.0-4
vulkan-icd-loader 1.0.26.0-1
w3m 0.5.3.git20160413-1
waf 1.9.4-2
wavpack 4.80.0-1
wayland 1.12.0-1
wayland-protocols 1.7-1
webkit2gtk 2.12.5-1
webkitgtk 2.4.11-1
webkitgtk-sharp 2.0.0-2
webkitgtk2 2.4.11-1
webrtc-audio-processing 0.3-1
websocketpp 0.7.0-1
websockify 0.8.0-1
weechat 1.5-2
weston 1.12.0-1
wget 1.18-1
whatsie 2.0.19-0
which 2.21-2
wildmidi 0.4.0-1
wine 1.9.19-1
wine-mono 4.6.3-1
wine-wizard-git 2.0.1-1
wine_gecko 2.47-1
winetricks-git 20160709.r0.g5a8cae5-1
wingpanel-bzr 1:r153-1
wireless_tools 30.pre9-1
wireshark-cli 2.2.0-2
wireshark-common 2.2.0-2
wireshark-gtk 2.2.0-2
wmctrl 1.07-4
wmutils-git 1.1.r15.gddbbc51-1
wokd 2.2.0-1
wpa_supplicant 1:2.5-3
wxgtk 3.0.2-5
wxgtk2.8 2.8.12.1-4
wxpython 3.0.2.0-2
x265 2.1-1
x2go-agent 3.5.0.32-2
x2goclient 4.0.5.2-1
x2goserver 4.0.1.19-5
xapian-core 1:1.2.23-1
xbitmaps 1.1.1-3
xcb-proto 1.12-2
xcb-util 0.4.0-1
xcb-util-cursor 0.1.3-1
xcb-util-image 0.4.0-1
xcb-util-keysyms 0.4.0-1
xcb-util-renderutil 0.3.9-1
xcb-util-wm 0.4.1-1
xcb-util-xrm 1.0-3
xcur2png 0.7.1-4
xdg-user-dirs 0.15-4
xdg-user-dirs-gtk 0.10-2
xdg-utils 1.1.1-4
xdgurl 1.0.0-1
xdman 5.0.47-2
xdotool 3.20160805.1-1
xenlism-wildfire-icon-theme-git 150.d3b9ad2-1
xerces-c 3.1.4-1
xextproto 7.3.0-1
xf86-input-evdev 2.10.4-1
xf86-input-keyboard 1.8.1-2
xf86-input-mouse 1.9.1-2
xf86-input-synaptics 1.8.99.1-1
xf86-video-ati 1:7.7.1-1
xf86dgaproto 2.1-3
xf86vidmodeproto 2.3.1-3
xfce4-appfinder 4.12.0-4
xfce4-mixer 4.11.0-3
xfce4-panel 4.12.0-2
xfce4-power-manager 1.6.0.41.g9daecb5-1
xfce4-session 4.12.1-4
xfce4-settings 4.12.1-1
xfce4-terminal 0.6.3-3
xfconf 4.12.0-4
xfdesktop 4.12.3-3
xfsprogs 4.7.0-1
xfwm4 4.12.3-2
xfwm4-themes 4.10.0-2
xine-lib 1.2.6-10
xine-ui 0.99.9-2
xineramaproto 1.2.1-3
xkeyboard-config 2.19-1
xmlrpc-c 1:1.43.03-1
xmlto 0.0.28-1
xmms2 0.8DrO_o.919.gece0baf-4
xorg-bdftopcf 1.0.5-1
xorg-font-util 1.3.1-1
xorg-font-utils 7.6-4
xorg-fonts-alias 1.0.3-1
xorg-fonts-encodings 1.0.4-4
xorg-fonts-misc 1.0.3-4
xorg-iceauth 1.0.7-1
xorg-luit 1.1.1-2
xorg-mkfontdir 1.0.7-2
xorg-mkfontscale 1.1.2-1
xorg-server 1.18.4-1
xorg-server-common 1.18.4-1
xorg-server-utils 7.6-4
xorg-server-xephyr 1.18.4-1
xorg-server-xvfb 1.18.4-1
xorg-server-xwayland 1.18.4-1
xorg-sessreg 1.1.0-1
xorg-setxkbmap 1.3.1-1
xorg-utils 7.6-9
xorg-xauth 1.0.9-1
xorg-xbacklight 1.2.1-1
xorg-xcmsdb 1.0.5-1
xorg-xdpyinfo 1.3.2-1
xorg-xdriinfo 1.0.5-1
xorg-xev 1.2.2-1
xorg-xfontsel 1.0.5-1
xorg-xgamma 1.0.6-1
xorg-xhost 1.0.7-1
xorg-xinit 1.3.4-4
xorg-xinput 1.6.2-1
xorg-xkbcomp 1.3.1-1
xorg-xlsatoms 1.1.2-1
xorg-xlsclients 1.1.3-1
xorg-xmessage 1.0.4-2
xorg-xmodmap 1.0.9-1
xorg-xprop 1.2.2-1
xorg-xrandr 1.5.0-1
xorg-xrdb 1.1.0-2
xorg-xrefresh 1.0.5-1
xorg-xset 1.2.3-1
xorg-xsetroot 1.1.1-2
xorg-xvinfo 1.1.3-1
xorg-xwininfo 1.1.3-1
xosd 2.2.14-8
xproto 7.0.31-1
xstow 1.0.2-2
xterm 326-1
xvidcore 1.3.4-1
xz 5.2.2-1
yabar-git 0.4.0.r42.gb583b34-1
yajl 2.1.0-1
yaourt 1.8.1-1
yaourt-gui 1.5-2
yasm 1.3.0-1
yelp 3.20.1-1
yelp-tools 3.18.0-1
yelp-xsl 3.20.1-1
youtube-dl 2016.10.02-1
youtube-dl-gui-git 0.3.8.r53.gaa74cc2-1
zathura 0.3.6-2
zeitgeist 0.9.16-1
zenity 3.20.0-1
zeromq 4.1.5-1
zim 0.65-4
zip 3.0-7
zita-alsa-pcmi 0.2.0-3
zita-resampler 1.3.0-5
zlib 1.2.8-4
zsh 5.2-1
zsh-completions 0.20.0-1
zsh-syntax-highlighting 0.4.1-2
zvbi 0.2.35-1
zx-git r48.1458475778.dab852d-1
